Название,Описание (основной текст),Совет (толкование карты),"Ключевое значение (слова, словосочетания)"
Лысая гора,"Лысая гора — древнее место силы и магических обрядов, где грань между мирами истончается, а всё скрытое поднимается на поверхность. Здесь, по преданиям, ведьмы устраивали шабаши, произносили древние заклинания и распахивали врата в другие реальности. Это таинственное место не терпит лжи. Очутившись здесь, человек неизбежно сталкивается с тем, что давно избегал: своими истинными желаниями, страхами, неприкрытой правдой. ","Эта карта призывает не прятаться от самого себя. Не отворачивайтесь от своих желаний и страхов — они укажут, куда давно нужно посмотреть. Если отвернетесь, останетесь там же, где были. Не бойтесь увидеть правду. Так происходит подлинное изменение.","Встреча с тенью, испытание духа, очищение, выбор"
Птица Гамаюн,"Птица Гамаюн — это вещая птица с головой женщины. Гамаюн пророчит будущее, но лишь тем, кто готов его услышать. Она всегда помогает достойным честным людям, является воплощением мудрости. Человек, который услышит ее пение, обретает знание, избавляется от своих несчастий и бед.","Встретив птицу Гамаюн, будьте готовы услышать правду о грядущем. Обратите внимание на информацию, которую получите в ближайшее время. Если вы прислушаетесь к песне вещей птицы и последуете ее совету, то непременно обретете счастье в будущем.","Готовность услышать правду, счастливая весть, мудрость"
Русалка,"Русалка — женский дух природы, обитающий в водоёмах, на полях и среди лесных деревьев. Русалки отличаются весёлым нравом и любовью к шалостям. Встреча с ними чаще всего приносит мелкие неприятности. Однако эти существа способны и помогать: даровать плодородие, защищать детей и посылать удачу тем, кто заслужил их расположение.","Карта символизирует череду мелких неприятностей. Вещи могут ломаться, теряться или запутываться. Плохая погода будет заставать вас в самый неподходящий момент. Дороги станут скользкими, а лестницы крутыми. Однако, всего этого можно избежать, если помнить, что это дух русалки играется с вами и пытается вывести из себя. Сохраняйте спокойствие, не вовлекайтесь эмоционально в происходящее, и тогда русалка не только перестанет хулиганить, но еще и наградит вас сполна.","Шалость, мелкие неприятности"
Меч-кладенец,"Мифическое холодное оружие, которое обладает магическими свойствами и обеспечивает поражение противника в битве. Этот легендарный меч делает владельца непобедимым.","Карта символизирует гарантированную победу во всех ваших начинаниях. Вероятно, вы получите поддержку, которая сделает вас несокрушимым. Смело беритесь за новые дела, ведь никто не способен помешать вашему успеху.","Защита, победа, успех"
Скатерть-самобранка,"Волшебная скатерть, на которой сами собой появляются кушанья. Она подобна рогу изобилия: преподносит герою всевозможные яства и напитки, которые никогда не иссякают.","Эта карта символизирует богатство и изобилие. В ближайшее время вы можете почувствовать себя баловнем судьбы — высшие силы готовы щедро одарить вас. Скатерть-самобранка также может предвещать пышные застолья, гостеприимство и приятные встречи.","Изобилие, богатство, успех, застолье"
Каменный цветок,"Сказочный цветок, высеченный из камня. Это истинное произведение искусства, ведь он не только выглядит, как настоящий, но даже источает чудесный сладкий аромат. Каменный цветок исполняет желания тех, кто владеет им. Он символизирует абсолютную, недостижимую для смертного красоту, а также талант, мастерство и способность создавать невозможное.","Эта карта напоминает об усердии и силе кропотливой работы. Развивайте свои навыки и выполняйте задачи тщательно — именно это приведёт к успеху, который может превзойти ваши ожидания. Будущее в ваших руках. Но помните: полностью растворяясь в труде, легко потерять связь с тем, что происходит вокруг вас сейчас. Важно сохранять равновесие.","Усердие, талант, мастерство"
Алатырь-камень,"Алатырь-камень является сильнейшим магическим предметом, способным исцелять недуги, исполнять любые желания и даже воскрешать мертвых. Алатырь-камень расположен в центре мира, посреди моря-океана, на острове Буяне. Этот камень символизирует равновесие между силами Хаоса и Порядка, баланс мужского и женского начала, а также вечный круговорот.  ","Эта карта призывает вас восстановить внутренний баланс. Сейчас особенно важно принять и примирить все грани вашей души. Алатырь-камень напоминает: сила приходит тогда, когда вы стоите в центре собственного мира. Только баланс ваших темной и светлой сторон, сможет активировать истинную силу. Найдите точку опоры, и ваши желания начнут исполняться легче.","Баланс противоположностей, принятие себя, внутренняя сила"
Перепутье,"Место, где скрещиваются и расходятся дороги. Как известно, на перепутье стоит волшебный указатель, однако, послание на нем лишь сильнее сбивает путника с толку.","Карта символизирует ощущение внутреннего конфликта. Вы не можете сдвинуться с места, потому что ваши разум и сердце тянут вас в разные стороны. Прежде чем принимать важные решения, сначала договоритесь с собой. Тогда выбор правильного пути будет очевиден.   ","Нерешительность, сомнения, муки выбора"
Чёрт,"Хитроумный и ловкий чёрт в славянской традиции не столько воплощение абсолютного зла, сколько олицетворение искушения, ловушек и сомнительных сделок. Он может являться в разных обличиях: обаятельным, разговорчивым, но всегда с умыслом. Любит заключать договоры, где выгода кажется очевидной, но последствия  не всегда прозрачны. Однако тот, кто умеет мыслить трезво и не поддаётся соблазну, может не только обойти уловку, но и обратить ситуацию в свою пользу.","Не всё то золото, что блестит. Вы можете столкнутся с искушением: быстрое решение, лёгкая выгода, привлекательная возможность. Прежде чем принять предложение или сделать шаг, подумайте, что скрывается за внешним лоском. Иногда уловка — это просто проверка на здравомыслие. Если вы достаточно внимательны, то не просто избежите ловушки, а выйдете победителем.","Искушение, ответственность за выбор, самообман  "
Леший,"Существо, обитающее в лесу и являющееся его хранителем. 
Рост Лешего изменчив и зависит целиком от его воли, он может быть высок как дерево или же мал как желудь. Способен принимать человеческий облик и говорить на языках людей и животных. Леший убивает лишь из крайней необходимости, а не из прихоти. Все, кто следует лесным законам или заключили с Лешим договор находятся в безопасности. Однако, это не относится к людям, пришедшим со злым умыслом.","Карта символизирует правосудие и ответственность за свои действия. Всем нашим поступкам свойственно возвращаться «Не вреди другим и другие не навредят тебе». Если кто-то таит злой умысел по отношению к вам, не переживайте, Леший обязательно поможет достичь справедливости.","Справедливость, правосудие  "
Лихо одноглазое,"Лихо — абсолютное зло, не выражающее никаких эмоций, хладнокровное и жадное, но вместе с этим очень умное и хитрое. Существо обитает на болотах, чаще всего селится в пещерах, где и пожирает своих жертв. Самой сильной способностью Лиха считается умение приносить неудачу. Работает оно безотказно и без разбора.","Карта символизирует неудачу и наличие злого умысла направленного на вас. Будте аккуратны с решениями, которые вы принимаете и со знакомствами, которые заводите. Оцените обстановку и прислушайтесь к своей интуиции. Проявите рассудительность, чтобы не угодить в ловушку, которую уготовило вам Лихо.","Злой умысел, неудача, предостережение"
Мара,"Могущественная богиня, королева ночи, управляющая циклом смерти и возрождения. Принося зиму, она является в облике молодой красавицы с длинными черными волосами, а к концу зимы выглядит как страуха в лохмотьях. Символ Мары — серп, которым она срезает нити жизни. Даруя обновление природе, она запускает и свой цикл перерождения. ","Карта символизирует завершение старого и начало чего - то нового. Если вам кажется, что вы слишком задержались на одном месте, не переживайте  — время изменений пришло! Не бойтесь менять свой подход и пробовать новое. Вы обязательно найдете то, что искали.","Обновление перерождение, цикл"
Щучьи зубы,"Щучьи зубы — древний могущественный оберег. В них скрыта высокая концентрация жизненной энергии, способная исцелять и отгонять хворь. Вешая амулет над входом, вы защищаете дом от злых гостей.  В случаях, когда артефакт носили на себе, он оберегал от сглаза и других напастей.","Эта карта символизирует защиту и жизненные силы. Под действием оберега не стоит страшиться чужих злых намерений, ведь великая сила уже скрыта внутри вас, а щучьи зубы лишь помогают её преумножить.","Энергия, защита, оберег"
Река Смородина,"Темная, вечно горящая река, отделяющая мир живых от мира мертвых. На ее берегах лежат человеческие кости, а переправа через нее смертельно опасна для живого человека. Река обладает первородной силой, ее течение не способен остановить никто. ","Карта символизирует решимость и силу необходимые для принятия важных решений. Разожгите в себе пламя, будьте настойчивы в своем выборе, ведь подобно реке Смотродине, мы вольны прокладывать свой путь в том направлении, которое избрали сами.","Решимость, непоколебимость, настойчивость"
Хрустальная гора,"Огромная ледяная гора, наполовину скрывающая Тридевятое царство, но вместе с тем, таящая важный секрет. На первый взгляд гора является непреодолимой преградой, однако это не совсем так. ","Карта символизирует иллюзорную преграду, которая мешает достичь желаемого. Осмотритесь вокруг — вероятнее всего разгадка находится очень близко, и скоро вы ее обнаружите. И помните, что при правильном подходе, любая неразрешимая задача становится не более чем легкой загадкой. ","Преграда, иллюзия, загадка"
Живая вода,"Волшебная вода способная исцелить любой недуг и залечить глубокие раны. Ее свойства настолько сильны, что всего лишь одной капли хватит что бы заполнить сосуд целиком. Однако добыча этого эликсира сопряжена с опасностями, поскольку место, где он находится, расположено за пределами реального мира.","Карта символизирует наступление светлой полосы в вашей жизни. Будь то ментальное или физическое здоровье, живая вода крайне сильное средство, которое поможет на нелегком пути исцеления.","Исцеление, восстановление"
Сапоги скороходы,"Волшебная обувь, наделенная энергией и силой не только преодолевать невероятные расстояния, но и разрешать трудные ситуации с огромной скоростью. Вам покорится любая преграда, а враги и завистники останутся далеко позади. ","Карта символизирует достижение цели, осуществление желаемого в кратчайшие сроки. Того, кто надел сапоги, не в силах остановить ничто. Однако не забудьте их вовремя снять и отдохнуть после забега.","Скорость, движение, достижение"
Макошь,"Главная женщина-богиня славянского пантеона. Богиня плодородия и рукоделия. Макошь покровительствует прядению и ткачеству, плетет нити судьбы. Ее помощники — пауки, а любимое животное — кошка. 
","Карта символизирует женское начало, заботу, которую дает мать своему ребенку. Вы можете получить именно ту поддержку, которая сейчас больше всего нужна: теплые объятия и спокойный отдых; или же придание сил и уверенности в грядущем деле. ","Поддержка, опора, созидание"
Полудница,"Высокая женщина в простом белом платье. Носит с собой серп, иногда похищает детей, оставленных без присмотра. Появлятся в поле в самый жаркий час дня — в полдень, и следит, чтобы никто из людей в это время не работал. Нарушителя может лишить сознания либо отрезать ему голову серпом.
","Карта предостерегает вас, что если не дать себе время замедлиться, то можно лишиться чего-то важного. 
Возможно, сейчас стоит сделать паузу, отдохнуть, чтобы позже с новыми силами вернуться к делам и заботам. ","

Время отдохнуть, предупреждение"
Сирин,"Существо с головой женщины и телом совы, обладающее чарующим голосом. В отличие от Алконоста и Гамаюна, Сирин — не посланник свыше, а прямая угроза для жизни. Считается, что эти птицы поют такие песни, услышав которые, люди начисто теряют память и волю, а их корабли терпят крушение.
","Карта символизирует соблазн, которому вы очень хотите поддаться. Будьте осторожны, запретный плод — сладок. Желаемое может вам навредить. Принимая решение, взвесьте риски и постарайтесь не идти на поводу у навязанного вам мнения. Критическое мышление убережет вас от возможных проблем. 
","Искушение, запретные удовольствия"
